2025-09-12 20:00:22.562000+00:00| INFO | cloud_migration | Uploaded parquet_data/proc_diagnostics_20250912_200020.parquet to S3 at archived_data/proc_diagnostics_20250912_200020.parquet
2025-09-12 20:00:22.562000+00:00| INFO | cloud_migration | Uploaded parquet_data/ticks_20250912_200020.parquet to S3 at archived_data/ticks_20250912_200020.parquet
2025-09-12 20:00:22.563000+00:00| INFO | cloud_migration | Uploaded parquet_data/monitoring_20250912_200020.parquet to S3 at archived_data/monitoring_20250912_200020.parquet
2025-09-12 20:00:22.563000+00:00| INFO | cloud_migration | Uploaded parquet_data/ws_diagnostics_20250912_200020.parquet to S3 at archived_data/ws_diagnostics_20250912_200020.parquet
2025-09-12 20:00:22.563000+00:00| INFO | cloud_migration | Uploaded parquet_data/uptime_diagnostics_20250912_200020.parquet to S3 at archived_data/uptime_diagnostics_20250912_200020.parquet
2025-09-12 20:00:23.741000+00:00| INFO | kafka.coordinator | Successfully joined group ticks_ingestor <Generation 58 (member_id: kafka-python-2.2.15-d329ef44-6e2f-44ad-977c-45d71a5fb917, protocol: range)>
2025-09-12 20:00:23.746000+00:00| INFO | kafka.coordinator | Elected group leader -- performing partition assignments using range
2025-09-12 20:00:23.750000+00:00| INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='price_ticks', partition=0)]
2025-09-12 20:00:23.751000+00:00| INFO | kafka.coordinator.consumer | Setting newly assigned partitions {TopicPartition(topic='price_ticks', partition=0)} for group ticks_ingestor
2025-09-12 20:00:23.799000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-09-12 20:00:24.448000+00:00| INFO | kafka_consumer | Inserted 111 rows to ticks_db.
2025-09-12 20:00:25.458000+00:00| INFO | kafka_consumer | Inserted 18 rows to ticks_db.
2025-09-12 20:00:25.668000+00:00| INFO | monitoring | Inserted ticks monitoring data for 130 messages.
2025-09-12 20:00:26.557000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-09-12 20:00:26.856000+00:00| INFO | kafka_consumer | Inserted 6 rows to ticks_db.
2025-09-12 20:00:27.858000+00:00| INFO | kafka_consumer | Inserted 5 rows to ticks_db.
2025-09-12 20:00:28.887000+00:00| INFO | kafka_consumer | Inserted 3 rows to ticks_db.
2025-09-12 20:00:29.912000+00:00| INFO | kafka_consumer | Inserted 2 rows to ticks_db.
2025-09-12 20:00:30.752000+00:00| INFO | monitoring | Inserted ticks monitoring data for 16 messages.
2025-09-12 20:00:30.904000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-09-12 20:00:31.626000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-09-12 20:00:31.942000+00:00| INFO | kafka_consumer | Inserted 28 rows to ticks_db.
